 year,Latitude,Longitude,Maximum Temperature
2020,33.5,67.5,
2020,33.5,68.5,
2020,33.5,69.5,29.0865
2020,33.5,70.5,30.5945
2020,33.5,71.5,30.587
2020,33.5,72.5,30.579
2020,33.5,73.5,29.8401
2020,33.5,74.5,31.4449
2020,33.5,75.5,33.5992
2020,33.5,76.5,32.7329
2020,33.5,77.5,33.3099
2020,33.5,78.5,33.3264
2020,33.5,79.5,33.3202
2020,33.5,80.5,28.1969
2020,33.5,81.5,28.0484
2020,33.5,82.5,
2020,33.5,83.5,
2020,33.5,84.5,
2020,33.5,85.5,
2020,33.5,86.5,
2020,33.5,87.5,
2020,33.5,88.5,
2020,33.5,89.5,
2020,33.5,90.5,
2020,33.5,91.5,
2020,33.5,92.5,
2020,33.5,93.5,
2020,33.5,94.5,
2020,33.5,95.5,
2020,33.5,96.5,
2020,33.5,97.5,
2020,34.5,67.5,
2020,34.5,68.5,
2020,34.5,69.5,29.0872
2020,34.5,70.5,29.8442
2020,34.5,71.5,29.8366
2020,34.5,72.5,29.8286
2020,34.5,73.5,32.4847
2020,34.5,74.5,32.5216
2020,34.5,75.5,32.571
2020,34.5,76.5,33.4646
2020,34.5,77.5,33.0706
2020,34.5,78.5,33.4135
2020,34.5,79.5,33.3768
2020,34.5,80.5,28.2211
2020,34.5,81.5,25.8613
2020,34.5,82.5,
2020,34.5,83.5,
2020,34.5,84.5,
2020,34.5,85.5,
2020,34.5,86.5,
2020,34.5,87.5,
2020,34.5,88.5,
2020,34.5,89.5,
2020,34.5,90.5,
2020,34.5,91.5,
2020,34.5,92.5,
2020,34.5,93.5,
2020,34.5,94.5,
2020,34.5,95.5,
2020,34.5,96.5,
2020,34.5,97.5,
2020,35.5,67.5,
2020,35.5,68.5,
2020,35.5,69.5,
2020,35.5,70.5,29.8469
2020,35.5,71.5,29.842
2020,35.5,72.5,29.8402
2020,35.5,73.5,32.5068
2020,35.5,74.5,32.5285
2020,35.5,75.5,32.5507
2020,35.5,76.5,33.6936
2020,35.5,77.5,33.6678
2020,35.5,78.5,33.4396
2020,35.5,79.5,32.745
2020,35.5,80.5,33.6088
2020,35.5,81.5,
2020,35.5,82.5,
2020,35.5,83.5,
2020,35.5,84.5,
2020,35.5,85.5,
2020,35.5,86.5,
2020,35.5,87.5,
2020,35.5,88.5,
2020,35.5,89.5,
2020,35.5,90.5,
2020,35.5,91.5,
2020,35.5,92.5,
2020,35.5,93.5,
2020,35.5,94.5,
2020,35.5,95.5,
2020,35.5,96.5,
2020,35.5,97.5,
2020,36.5,67.5,
2020,36.5,68.5,
2020,36.5,69.5,
2020,36.5,70.5,29.0977
2020,36.5,71.5,29.8523
2020,36.5,72.5,32.5083
2020,36.5,73.5,32.5167
2020,36.5,74.5,32.5292
2020,36.5,75.5,32.1009
2020,36.5,76.5,32.087
2020,36.5,77.5,32.0701
2020,36.5,78.5,33.6704
2020,36.5,79.5,
2020,36.5,80.5,
2020,36.5,81.5,
2020,36.5,82.5,
2020,36.5,83.5,
2020,36.5,84.5,
2020,36.5,85.5,
2020,36.5,86.5,
2020,36.5,87.5,
2020,36.5,88.5,
2020,36.5,89.5,
2020,36.5,90.5,
2020,36.5,91.5,
2020,36.5,92.5,
2020,36.5,93.5,
2020,36.5,94.5,
2020,36.5,95.5,
2020,36.5,96.5,
2020,36.5,97.5,
